id_ordem,mes,produto,maquina,turno,quantidade_pecas,tempo_setup_min,horas_maquina_previstas,prioridade,materia_prima_ok,operadores_alocados,taxa_refugo_pct,paradas_manutencao_mes,dias_ate_prazo,status_prazo
OP-00048,11,Flange,Mandrilhadora-A,Tarde,3365,103.0,42.91,Urgente,Não,5,2.07,3,33,No_Prazo
OP-00049,9,Engrenagem,CNC-01,Noite,4346,118.0,98.66,Baixa,Sim,3,6.35,3,8,Atrasado
OP-00050,10,Eixo,Mandrilhadora-A,Manhã,4086,99.0,81.83,Alta,Sim,2,4.88,2,14,Atrasado
OP-00051,10,Flange,CNC-01,Manhã,2183,168.0,44.5,Média,Sim,1,3.54,2,34,No_Prazo
OP-00052,3,Engrenagem,Mandrilhadora-A,Tarde,3552,58.0,176.84,Alta,Sim,4,3.94,1,6,Atrasado
OP-00053,5,Eixo,Fresadora-01,Noite,1959,178.0,55.51,Alta,Sim,6,3.58,3,19,Adiantado
OP-00054,6,Eixo,CNC-01,Noite,1308,18.0,19.33,Alta,Sim,1,6.7,1,28,No_Prazo
OP-00055,6,Carcaça,Fresadora-01,Noite,3380,35.0,166.6,Alta,Sim,1,6.6,2,39,No_Prazo
OP-00056,1,Carcaça,CNC-01,Noite,2357,46.0,46.45,Média,Sim,1,3.3,4,8,Atrasado
OP-00057,7,Engrenagem,Torno-03,Tarde,1162,28.0,14.99,Urgente,Sim,4,5.73,5,25,Adiantado
OP-00058,2,Suporte,Mandrilhadora-A,Noite,3320,87.0,36.41,Alta,Sim,2,4.49,2,33,No_Prazo
OP-00059,9,Suporte,CNC-02,Manhã,1642,158.0,46.84,Média,Sim,5,6.11,1,20,Adiantado
OP-00060,9,Eixo,CNC-01,Noite,2959,150.0,138.28,Média,Sim,5,0.88,0,21,Adiantado
OP-00061,12,Flange,Torno-03,Noite,1838,138.0,19.63,Média,Sim,4,3.02,5,22,No_Prazo
OP-00062,9,Suporte,CNC-02,Noite,4431,16.0,172.84,Alta,Não,1,3.02,2,40,Atrasado
OP-00063,5,Eixo,CNC-01,Tarde,4260,158.0,86.98,Alta,Não,4,4.98,1,29,Atrasado
OP-00064,12,Engrenagem,Torno-03,Noite,2395,80.0,44.94,Média,Sim,3,2.06,4,20,No_Prazo
OP-00065,5,Eixo,CNC-02,Manhã,3566,136.0,136.05,Alta,Sim,6,4.49,2,3,Atrasado
OP-00066,4,Eixo,CNC-01,Tarde,931,135.0,37.16,Baixa,Sim,5,7.85,4,20,No_Prazo
OP-00067,11,Eixo,CNC-02,Manhã,4987,44.0,161.38,Média,Sim,6,0.83,0,38,Adiantado
OP-00068,5,Eixo,CNC-01,Tarde,1112,100.0,20.12,Alta,Sim,3,4.28,5,21,No_Prazo
OP-00069,1,Engrenagem,Mandrilhadora-A,Tarde,4341,168.0,44.51,Baixa,Não,2,1.54,1,19,Atrasado
OP-00070,6,Carcaça,Mandrilhadora-A,Manhã,4237,58.0,167.32,Média,Sim,3,4.87,4,33,No_Prazo
OP-00071,10,Engrenagem,CNC-02,Manhã,931,133.0,31.64,Baixa,Sim,5,2.31,1,44,Adiantado
OP-00072,3,Suporte,Mandrilhadora-A,Manhã,93,173.0,2.5,Baixa,Sim,4,7.27,1,9,No_Prazo
OP-00073,6,Suporte,Torno-03,Tarde,3698,75.0,68.57,Baixa,Não,3,2.88,2,43,Atrasado
OP-00074,2,Suporte,Mandrilhadora-A,Tarde,4352,79.0,176.16,Baixa,Sim,6,7.69,0,17,No_Prazo
OP-00075,9,Carcaça,CNC-01,Tarde,3595,90.0,46.14,Média,Sim,3,0.53,3,28,No_Prazo
OP-00076,6,Engrenagem,CNC-02,Manhã,325,148.0,11.61,Urgente,Sim,6,6.74,2,14,Adiantado
OP-00077,4,Eixo,Fresadora-01,Noite,3245,87.0,121.8,Baixa,Não,4,2.46,0,3,Atrasado
OP-00078,3,Engrenagem,CNC-02,Tarde,1988,95.0,37.63,Alta,Sim,1,2.01,2,19,No_Prazo
OP-00079,7,Flange,Mandrilhadora-A,Manhã,4582,52.0,134.4,Alta,Sim,3,7.13,3,40,No_Prazo
OP-00080,9,Suporte,Torno-03,Manhã,4010,178.0,123.54,Baixa,Sim,5,2.78,3,42,Adiantado
OP-00081,12,Carcaça,Torno-03,Tarde,4004,162.0,134.74,Média,Não,6,4.88,0,19,Atrasado
OP-00082,6,Eixo,Torno-03,Manhã,2067,114.0,95.18,Baixa,Sim,4,6.03,4,30,Adiantado
OP-00083,2,Eixo,Fresadora-01,Manhã,1644,173.0,52.37,Alta,Sim,1,3.64,1,36,Adiantado
OP-00084,10,Carcaça,CNC-01,Manhã,4120,128.0,52.29,Alta,Sim,3,1.26,1,24,Adiantado
OP-00085,8,Suporte,Fresadora-01,Manhã,620,173.0,14.76,Média,Sim,6,7.42,5,37,Adiantado
OP-00086,9,Suporte,Fresadora-01,Manhã,546,42.0,19.18,Baixa,Sim,3,5.36,5,8,No_Prazo
OP-00087,2,Flange,Mandrilhadora-A,Manhã,357,52.0,8.33,Baixa,Sim,3,7.19,0,43,Adiantado
OP-00088,4,Flange,Mandrilhadora-A,Noite,2582,161.0,105.13,Alta,Sim,6,6.26,2,27,No_Prazo
OP-00089,10,Eixo,Fresadora-01,Tarde,423,84.0,7.44,Baixa,Sim,3,6.3,1,9,No_Prazo
OP-00090,10,Suporte,Torno-03,Tarde,2933,76.0,46.11,Média,Sim,5,4.92,4,37,Adiantado
OP-00091,6,Eixo,Torno-03,Tarde,878,139.0,16.89,Alta,Sim,1,0.55,3,42,Adiantado
OP-00092,10,Carcaça,CNC-02,Tarde,4459,119.0,200.85,Alta,Sim,4,7.12,2,18,No_Prazo
OP-00093,11,Engrenagem,Mandrilhadora-A,Manhã,2190,72.0,81.55,Baixa,Sim,1,6.73,4,23,No_Prazo
OP-00094,5,Flange,CNC-02,Manhã,513,81.0,15.8,Média,Não,2,5.95,4,41,Atrasado
OP-00095,11,Eixo,Torno-03,Manhã,3483,82.0,76.67,Média,Sim,4,7.09,5,26,No_Prazo
OP-00096,4,Suporte,CNC-01,Tarde,1726,36.0,80.68,Alta,Sim,4,1.88,5,18,Adiantado
OP-00097,3,Suporte,CNC-02,Tarde,1346,53.0,61.31,Média,Sim,1,2.61,2,30,Adiantado
OP-00098,9,Carcaça,CNC-02,Manhã,3313,104.0,86.06,Média,Sim,3,1.68,0,9,No_Prazo
OP-00099,8,Suporte,Torno-03,Tarde,4780,144.0,191.72,Baixa,Sim,3,5.35,5,17,Atrasado
OP-00100,2,Eixo,Torno-03,Noite,4900,84.0,228.06,Alta,Não,3,3.79,2,38,Atrasado
OP-00101,10,Eixo,Fresadora-01,Manhã,2205,78.0,49.69,Alta,Sim,5,1.27,5,7,No_Prazo
OP-00102,3,Carcaça,Torno-03,Tarde,4248,122.0,98.34,Alta,Sim,6,4.82,4,27,No_Prazo
OP-00103,10,Flange,CNC-01,Tarde,1086,41.0,34.57,Alta,Sim,1,3.04,3,32,Adiantado
OP-00104,1,Engrenagem,Torno-03,Tarde,4240,78.0,111.66,Alta,Sim,6,4.18,5,25,No_Prazo
OP-00105,10,Carcaça,CNC-01,Tarde,4713,49.0,190.68,Alta,Sim,1,2.46,4,19,Atrasado
OP-00106,10,Suporte,Mandrilhadora-A,Tarde,2610,123.0,82.16,Média,Sim,6,1.71,3,42,Adiantado
OP-00107,10,Engrenagem,Fresadora-01,Manhã,2638,34.0,48.73,Baixa,Sim,4,3.88,3,37,Adiantado
OP-00108,8,Suporte,CNC-02,Tarde,2843,89.0,68.96,Urgente,Sim,5,2.2,1,38,Adiantado
OP-00109,6,Suporte,CNC-02,Noite,411,113.0,15.15,Alta,Sim,2,3.54,1,7,No_Prazo
OP-00110,9,Suporte,CNC-01,Manhã,4299,153.0,52.18,Urgente,Não,4,3.37,3,45,Atrasado
OP-00111,4,Carcaça,CNC-02,Noite,3701,135.0,87.66,Média,Sim,4,7.55,2,24,Atrasado
OP-00112,10,Flange,CNC-01,Manhã,4354,171.0,46.34,Urgente,Não,2,1.9,3,32,Atrasado
OP-00113,7,Flange,Mandrilhadora-A,Tarde,620,127.0,26.56,Baixa,Sim,4,2.65,4,19,No_Prazo
OP-00114,6,Suporte,CNC-01,Tarde,4021,73.0,59.06,Média,Sim,6,6.44,0,27,No_Prazo
OP-00115,7,Engrenagem,Fresadora-01,Tarde,1845,53.0,24.15,Média,Sim,1,2.72,0,33,Adiantado
OP-00116,7,Engrenagem,Torno-03,Noite,4101,24.0,170.04,Baixa,Não,3,4.1,3,26,Atrasado
OP-00117,1,Carcaça,CNC-02,Manhã,4969,61.0,67.48,Baixa,Sim,3,6.21,5,27,Atrasado
OP-00118,2,Eixo,Mandrilhadora-A,Tarde,4404,38.0,164.58,Baixa,Sim,2,0.53,3,18,No_Prazo
OP-00119,3,Flange,CNC-01,Tarde,4582,76.0,115.44,Baixa,Sim,3,7.67,4,45,No_Prazo
OP-00120,2,Eixo,Mandrilhadora-A,Noite,613,131.0,26.28,Urgente,Não,1,3.97,1,10,Atrasado
OP-00121,6,Eixo,Fresadora-01,Tarde,1676,129.0,29.02,Urgente,Sim,1,6.2,1,19,No_Prazo
OP-00122,9,Flange,Fresadora-01,Noite,1498,67.0,20.04,Alta,Não,6,7.41,1,38,No_Prazo
OP-00123,8,Carcaça,Mandrilhadora-A,Noite,2592,99.0,49.6,Urgente,Não,2,7.08,5,23,Atrasado
OP-00124,6,Flange,Torno-03,Manhã,4881,51.0,230.8,Alta,Sim,2,2.15,4,3,Atrasado
OP-00125,11,Engrenagem,CNC-02,Noite,3444,98.0,148.66,Urgente,Não,4,4.66,2,7,Atrasado
OP-00126,7,Eixo,CNC-01,Noite,2746,99.0,58.85,Baixa,Sim,5,3.58,0,41,Adiantado
OP-00127,1,Engrenagem,Mandrilhadora-A,Manhã,4034,65.0,73.6,Média,Sim,6,4.49,5,45,Adiantado
OP-00128,10,Carcaça,Torno-03,Tarde,923,58.0,15.02,Alta,Sim,4,6.35,1,14,Adiantado
OP-00129,7,Eixo,Mandrilhadora-A,Manhã,3319,177.0,62.56,Média,Não,2,3.16,1,12,Atrasado
OP-00130,8,Eixo,CNC-02,Tarde,2540,104.0,46.23,Alta,Sim,2,4.08,4,13,No_Prazo
OP-00131,7,Engrenagem,Mandrilhadora-A,Manhã,1056,108.0,48.08,Média,Sim,5,5.06,0,42,Adiantado
OP-00132,7,Flange,Mandrilhadora-A,Tarde,3246,16.0,35.05,Média,Sim,6,2.53,1,3,No_Prazo
OP-00133,2,Carcaça,CNC-02,Tarde,4210,45.0,190.31,Média,Sim,6,5.05,3,7,Atrasado
OP-00134,7,Flange,Torno-03,Tarde,4149,74.0,48.36,Alta,Sim,6,1.62,0,18,Adiantado
OP-00135,10,Suporte,Fresadora-01,Manhã,4223,174.0,181.9,Média,Sim,4,5.16,5,45,No_Prazo
OP-00136,4,Engrenagem,CNC-02,Tarde,4070,44.0,110.01,Média,Sim,2,1.57,5,6,Atrasado
OP-00137,8,Engrenagem,CNC-01,Tarde,2371,65.0,31.03,Alta,Sim,3,6.32,4,17,No_Prazo
OP-00138,1,Suporte,CNC-02,Tarde,293,178.0,12.29,Média,Sim,1,1.96,3,10,No_Prazo
OP-00139,5,Engrenagem,Torno-03,Manhã,4828,94.0,97.8,Média,Não,3,5.35,3,17,Atrasado
OP-00140,6,Flange,CNC-01,Manhã,2294,68.0,103.51,Alta,Sim,4,4.86,1,32,Adiantado
OP-00141,12,Eixo,CNC-02,Tarde,3182,120.0,127.57,Média,Sim,5,3.69,0,11,No_Prazo
OP-00142,3,Engrenagem,Mandrilhadora-A,Noite,151,97.0,7.44,Urgente,Não,2,5.34,0,20,Atrasado
OP-00143,4,Flange,CNC-01,Manhã,4448,173.0,192.49,Média,Sim,5,6.85,0,9,Atrasado
OP-00144,5,Carcaça,CNC-01,Tarde,4446,29.0,87.31,Urgente,Sim,2,1.4,0,3,No_Prazo
OP-00145,12,Engrenagem,Torno-03,Manhã,4644,145.0,122.46,Alta,Sim,5,5.57,4,24,Atrasado
OP-00146,11,Carcaça,CNC-01,Tarde,910,61.0,34.46,Alta,Sim,6,3.58,4,16,Adiantado
OP-00147,1,Flange,CNC-01,Manhã,4222,148.0,95.6,Alta,Sim,2,5.55,4,34,No_Prazo
OP-00148,3,Suporte,CNC-01,Tarde,3143,155.0,100.14,Alta,Não,2,7.06,2,3,Atrasado
OP-00149,10,Engrenagem,CNC-01,Manhã,773,155.0,15.08,Média,Sim,6,5.4,0,5,No_Prazo
OP-00150,1,Carcaça,Mandrilhadora-A,Manhã,2874,158.0,104.95,Média,Sim,3,1.7,1,42,Adiantado
OP-00151,11,Engrenagem,CNC-01,Manhã,2408,133.0,57.03,Média,Sim,2,3.62,4,21,No_Prazo
OP-00152,4,Carcaça,Torno-03,Manhã,3146,38.0,38.4,Média,Não,2,4.62,5,40,Atrasado
OP-00153,12,Suporte,Fresadora-01,Tarde,464,24.0,22.6,Baixa,Sim,3,1.45,0,7,Adiantado
OP-00154,4,Eixo,Fresadora-01,Noite,2838,71.0,124.18,Alta,Sim,3,5.33,4,18,Atrasado
OP-00155,6,Engrenagem,Fresadora-01,Tarde,3403,97.0,75.37,Baixa,Sim,6,5.85,5,32,No_Prazo
OP-00156,8,Suporte,CNC-02,Noite,3592,65.0,54.54,Média,Sim,3,6.22,4,13,Atrasado
OP-00157,2,Engrenagem,Mandrilhadora-A,Tarde,3857,137.0,152.0,Baixa,Sim,3,1.4,1,12,Atrasado
OP-00158,7,Suporte,CNC-01,Manhã,3149,134.0,59.29,Baixa,Não,2,5.79,3,7,Atrasado
OP-00159,7,Suporte,CNC-01,Manhã,3521,175.0,120.48,Média,Sim,5,3.25,4,17,No_Prazo
OP-00160,10,Eixo,Mandrilhadora-A,Tarde,496,81.0,20.42,Alta,Sim,5,2.08,5,33,Adiantado
OP-00161,12,Eixo,CNC-01,Manhã,3999,145.0,83.57,Média,Não,4,4.43,4,15,Atrasado
OP-00162,8,Eixo,CNC-01,Noite,1865,137.0,39.88,Urgente,Não,5,4.8,2,8,Atrasado
OP-00163,5,Eixo,CNC-01,Tarde,2760,178.0,34.4,Baixa,Não,2,3.93,4,29,Atrasado
OP-00164,5,Engrenagem,CNC-01,Tarde,2755,143.0,62.8,Média,Sim,4,6.81,0,31,Adiantado
OP-00165,6,Eixo,CNC-01,Tarde,4881,62.0,165.46,Baixa,Não,5,1.67,0,20,Atrasado
OP-00166,10,Suporte,Torno-03,Manhã,1659,18.0,26.93,Média,Sim,6,3.55,0,14,Adiantado
OP-00167,4,Eixo,Fresadora-01,Tarde,1952,175.0,93.94,Baixa,Não,2,2.5,3,34,Atrasado
OP-00168,3,Suporte,CNC-01,Manhã,3813,133.0,148.31,Baixa,Sim,1,0.87,0,34,No_Prazo
OP-00169,5,Carcaça,Mandrilhadora-A,Manhã,3189,149.0,57.9,Alta,Sim,5,3.04,0,28,Adiantado
OP-00170,1,Suporte,CNC-01,Manhã,1623,146.0,50.68,Alta,Sim,4,5.89,5,19,No_Prazo
OP-00171,2,Flange,Fresadora-01,Manhã,1754,136.0,45.0,Média,Sim,1,4.42,2,24,No_Prazo
OP-00172,2,Eixo,Mandrilhadora-A,Tarde,4151,139.0,105.0,Urgente,Sim,5,3.64,3,8,No_Prazo
OP-00173,10,Carcaça,Torno-03,Manhã,4187,168.0,135.66,Alta,Não,3,4.06,2,3,Atrasado
OP-00174,9,Eixo,Torno-03,Manhã,776,166.0,11.12,Média,Sim,4,2.84,0,14,Adiantado
OP-00175,9,Flange,CNC-01,Noite,2029,78.0,37.76,Média,Não,3,1.42,3,25,Atrasado
OP-00176,6,Flange,CNC-02,Noite,3858,20.0,61.68,Média,Sim,6,4.93,0,32,No_Prazo
OP-00177,9,Suporte,Mandrilhadora-A,Tarde,637,21.0,10.8,Alta,Sim,3,6.62,4,13,No_Prazo
OP-00178,2,Flange,CNC-02,Tarde,958,89.0,34.69,Média,Sim,4,6.42,4,32,Adiantado
OP-00179,11,Suporte,CNC-01,Noite,834,153.0,41.57,Baixa,Sim,4,2.25,4,16,No_Prazo
OP-00180,7,Carcaça,Fresadora-01,Manhã,2663,155.0,95.99,Média,Sim,6,3.76,2,28,Adiantado
OP-00181,12,Eixo,Fresadora-01,Tarde,2282,82.0,112.71,Média,Sim,4,4.64,2,7,No_Prazo
OP-00182,2,Carcaça,CNC-01,Manhã,1636,65.0,54.12,Média,Não,1,6.52,4,16,Atrasado
OP-00183,6,Engrenagem,CNC-01,Tarde,723,99.0,15.42,Média,Sim,6,1.97,2,11,Adiantado
OP-00184,9,Carcaça,CNC-01,Noite,3204,152.0,143.83,Urgente,Sim,1,1.49,5,30,No_Prazo
OP-00185,6,Engrenagem,CNC-01,Noite,4046,120.0,51.33,Média,Sim,4,7.49,3,33,No_Prazo
OP-00186,6,Carcaça,Fresadora-01,Noite,1103,38.0,15.55,Média,Sim,3,1.59,4,4,No_Prazo
OP-00187,2,Eixo,CNC-01,Tarde,3348,75.0,160.39,Baixa,Não,3,7.92,3,20,Atrasado
OP-00188,5,Carcaça,Fresadora-01,Tarde,3987,107.0,143.56,Média,Sim,6,4.99,1,28,Adiantado
OP-00189,3,Engrenagem,CNC-01,Noite,2807,104.0,132.37,Alta,Não,1,4.24,2,34,Atrasado
OP-00190,4,Flange,Mandrilhadora-A,Tarde,2889,152.0,44.25,Urgente,Sim,1,1.92,3,36,Adiantado
OP-00191,9,Carcaça,Fresadora-01,Tarde,875,169.0,35.64,Alta,Sim,6,6.95,3,36,Adiantado
OP-00192,8,Engrenagem,CNC-02,Manhã,4788,32.0,92.85,Baixa,Sim,2,1.79,3,8,Atrasado
OP-00193,8,Eixo,Torno-03,Tarde,4784,52.0,113.54,Alta,Sim,3,3.51,5,30,No_Prazo
OP-00194,5,Engrenagem,CNC-01,Manhã,3573,80.0,164.21,Alta,Sim,6,0.86,5,38,Adiantado
OP-00195,12,Eixo,CNC-01,Tarde,4518,64.0,119.5,Baixa,Sim,5,0.67,1,26,No_Prazo
OP-00196,2,Eixo,Torno-03,Manhã,3056,82.0,112.53,Urgente,Sim,4,5.97,1,41,Adiantado
OP-00197,5,Suporte,CNC-01,Tarde,3323,22.0,151.17,Alta,Não,1,2.06,0,38,Atrasado
OP-00198,2,Eixo,Fresadora-01,Manhã,4154,26.0,186.24,Alta,Não,3,5.01,4,44,Atrasado
OP-00199,5,Engrenagem,CNC-02,Manhã,238,153.0,2.46,Média,Sim,4,5.93,2,43,Adiantado
OP-00200,12,Engrenagem,CNC-01,Tarde,1137,32.0,18.57,Média,Sim,1,4.19,3,4,No_Prazo
OP-00201,5,Carcaça,Torno-03,Manhã,1056,151.0,49.36,Alta,Não,4,5.42,5,20,Atrasado
OP-00202,11,Carcaça,Torno-03,Noite,3182,66.0,103.4,Média,Sim,5,2.31,2,41,Adiantado
OP-00203,6,Eixo,Fresadora-01,Tarde,1249,66.0,36.48,Urgente,Sim,3,6.63,3,6,No_Prazo
OP-00204,9,Engrenagem,CNC-01,Manhã,1982,32.0,24.99,Baixa,Sim,6,2.05,1,5,No_Prazo
OP-00205,6,Engrenagem,Torno-03,Manhã,2494,17.0,27.44,Média,Sim,6,4.93,4,15,No_Prazo
OP-00206,4,Carcaça,Mandrilhadora-A,Noite,3731,74.0,179.6,Alta,Sim,5,6.77,0,19,No_Prazo
OP-00207,10,Suporte,CNC-02,Tarde,2611,153.0,75.6,Média,Sim,2,6.45,3,29,No_Prazo
OP-00208,12,Suporte,Mandrilhadora-A,Tarde,171,167.0,7.09,Média,Sim,1,0.88,4,26,No_Prazo
OP-00209,4,Eixo,Fresadora-01,Manhã,3449,25.0,64.84,Alta,Sim,5,3.25,4,34,Adiantado
OP-00210,10,Suporte,Torno-03,Tarde,2167,20.0,42.22,Alta,Sim,4,6.89,0,12,No_Prazo
OP-00211,4,Engrenagem,Mandrilhadora-A,Noite,611,41.0,19.8,Média,Sim,5,6.88,5,23,No_Prazo
OP-00212,9,Suporte,Mandrilhadora-A,Manhã,3275,141.0,147.51,Média,Não,3,5.27,2,17,Atrasado
OP-00213,10,Flange,CNC-02,Manhã,1387,49.0,29.88,Alta,Sim,1,1.31,3,41,Adiantado
OP-00214,6,Eixo,Mandrilhadora-A,Manhã,2330,53.0,53.94,Média,Sim,6,3.53,2,42,Adiantado
OP-00215,9,Suporte,CNC-01,Manhã,4839,162.0,154.97,Alta,Sim,6,7.71,2,38,No_Prazo
OP-00216,4,Suporte,CNC-01,Tarde,1227,159.0,14.23,Alta,Sim,5,1.3,1,10,Adiantado
OP-00217,1,Flange,CNC-01,Noite,4431,126.0,111.44,Média,Sim,1,6.51,5,6,Atrasado
OP-00218,2,Engrenagem,CNC-02,Noite,2348,42.0,75.73,Baixa,Sim,5,3.63,3,26,No_Prazo
OP-00219,6,Engrenagem,Mandrilhadora-A,Noite,4666,78.0,47.56,Baixa,Sim,6,6.09,5,33,Atrasado
OP-00220,11,Carcaça,Fresadora-01,Manhã,4256,54.0,151.17,Média,Sim,3,0.91,1,38,Adiantado
OP-00221,2,Eixo,Fresadora-01,Noite,4169,126.0,50.19,Alta,Sim,4,0.58,1,37,Adiantado
OP-00222,6,Eixo,CNC-01,Manhã,1073,144.0,41.63,Alta,Sim,1,2.75,3,13,No_Prazo
OP-00223,9,Suporte,Torno-03,Manhã,3964,38.0,166.75,Urgente,Sim,4,7.03,3,17,No_Prazo
OP-00224,3,Eixo,CNC-02,Tarde,1867,163.0,81.31,Média,Não,5,5.6,0,43,Atrasado
OP-00225,9,Eixo,Torno-03,Manhã,4555,91.0,168.24,Alta,Sim,2,5.09,2,33,No_Prazo
OP-00226,4,Suporte,CNC-02,Noite,4952,146.0,160.76,Alta,Sim,4,7.98,2,45,No_Prazo
OP-00227,10,Flange,CNC-02,Noite,3078,24.0,68.65,Média,Sim,2,3.1,0,12,No_Prazo
